method,setting,dataset,category,metric,score
dpo,(none),retain,domain,MU-R,0.29787639585582554
dpo,(none),retain,entity,MU-R,0.34598352079810196
dpo,(none),retain,general,MU-R,0.5434040402342015
npo,wretain,forget,overall,FE,0.37637360063273473
dpo,entity,forget,overall,FE,0.8229290237916235
dpo,direct,test,domain,MU-T,0.6022467542629578
dpo,direct,test,entity,MU-T,0.8060210467178973
dpo,direct,test,general,MU-T,0.9049707771693489
npo,cyclic,retain,domain,MU-R,0.7488453942057509
npo,cyclic,retain,entity,MU-R,0.6658749084273924
npo,cyclic,retain,general,MU-R,0.9458027052593148
dpo,tofu,test,domain,MU-T,0.5764369162144183
dpo,tofu,test,entity,MU-T,0.7260357060879304
dpo,tofu,test,general,MU-T,0.848517880142082
gd,cyclic,test,domain,MU-T,0.496424338332567
gd,cyclic,test,entity,MU-T,0.6795322292166868
gd,cyclic,test,general,MU-T,0.7428039299341236
npo,direct,forget,overall,FE,0.7178385312531128
dpo,tofu,forget,overall,FE,0.3634269504468768
npo,(none),forget,overall,FE,0.306948534591761
gd,tofu,test,domain,MU-T,0.5831444245467493
gd,tofu,test,entity,MU-T,0.7589306209026873
gd,tofu,test,general,MU-T,0.8439949169518915
npo,indirect,test,domain,MU-T,0.6432525624592669
npo,indirect,test,entity,MU-T,0.7993712570208652
npo,indirect,test,general,MU-T,0.9059936814727902
gd,cyclic,forget,overall,FE,0.9771040774577733
gd,indirect,retain,domain,MU-R,0.5328053676574742
gd,indirect,retain,general,MU-R,0.8214455427064837
gd,direct,retain,entity,MU-R,0.25276815648319606
gd,direct,retain,general,MU-R,0.4024085486102523
pre,unlearning,retain,domain,MU-R,0.566754491498833
pre,unlearning,retain,entity,MU-R,0.5367437228104313
pre,unlearning,retain,general,MU-R,0.8089083466297126
npo,tofu,retain,domain,MU-R,0.5564586730411245
npo,tofu,retain,entity,MU-R,0.5233900225074914
npo,tofu,retain,general,MU-R,0.7988282870403326
npo,balanced,forget,overall,FE,0.6187998911558901
dpo,wretain,test,domain,MU-T,0.5839649805102477
dpo,wretain,test,entity,MU-T,0.7408785318741882
dpo,wretain,test,general,MU-T,0.8559730451654786
simnpo,(none),test,domain,MU-T,0.6183823886229308
simnpo,(none),test,entity,MU-T,0.8132137743201868
simnpo,(none),test,general,MU-T,0.9013462516575304
simnpo,melu,forget,overall,FE,0.5984236745262073
gd,(none),forget,overall,FE,0.36856991148959944
dpo,balanced,forget,overall,FE,0.574421060061974
dpo,wretain,forget,overall,FE,0.3203761384322002
npo,entity,forget,overall,FE,0.6567403062622962
npo,(none),retain,domain,MU-R,0.566754491498833
npo,(none),retain,entity,MU-R,0.5367437228104313
npo,(none),retain,general,MU-R,0.8089083466297126
pre,unlearning,test,domain,MU-T,0.5778748096917813
pre,unlearning,test,entity,MU-T,0.758304201882917
pre,unlearning,test,general,MU-T,0.8477356548939697
gd,entity,test,domain,MU-T,0.5355016995083581
gd,entity,test,entity,MU-T,0.7279558485596487
gd,entity,test,general,MU-T,0.8442808929655304
gd,balanced,retain,domain,MU-R,0.41286242105247545
gd,balanced,retain,entity,MU-R,0.4168297261138911
gd,balanced,retain,general,MU-R,0.6315281099801522
dpo,direct,forget,overall,FE,0.5765626656532413
dpo,cyclic,retain,domain,MU-R,0.7790310802580922
dpo,cyclic,retain,entity,MU-R,0.6823401265736151
dpo,cyclic,retain,general,MU-R,0.9585061264845732
npo,direct,test,domain,MU-T,0.4469377617850257
npo,direct,test,entity,MU-T,0.7591596661413944
npo,direct,test,general,MU-T,0.8638647440452876
dpo,(none),forget,overall,FE,0.7071254728181234
dpo,indirect,test,domain,MU-T,0.6641400928568236
dpo,indirect,test,entity,MU-T,0.7569725025726644
dpo,indirect,test,general,MU-T,0.9270941485846381
gd,entity,retain,domain,MU-R,0.5657395811154089
gd,entity,retain,entity,MU-R,0.5210943369629074
gd,entity,retain,general,MU-R,0.8590566383153108
dpo,tofu,retain,domain,MU-R,0.5513451209127483
dpo,tofu,retain,entity,MU-R,0.5226599446177678
dpo,tofu,retain,general,MU-R,0.8093784327894245
dpo,indirect,forget,overall,FE,0.7171432966136201
grad,ascent,test,domain,MU-T,0.49186558449229695
grad,ascent,test,entity,MU-T,0.7141172297668835
grad,ascent,test,general,MU-T,0.7736853025049037
gd,(none),retain,domain,MU-R,0.6443154412377395
gd,(none),retain,entity,MU-R,0.6043166951019087
gd,(none),retain,general,MU-R,0.8014032837984806
simnpo,melu,retain,domain,MU-R,0.8479019912579081
simnpo,melu,retain,entity,MU-R,0.7686573261047334
simnpo,melu,retain,general,MU-R,0.9751946591571625
npo,(none),test,domain,MU-T,0.5778748096917813
npo,(none),test,entity,MU-T,0.758304201882917
npo,(none),test,general,MU-T,0.8477356548939697
pre,unlearning,forget,overall,FE,0.306948534591761
npo,tofu,forget,overall,FE,0.35101648259266827
npo,indirect,forget,overall,FE,0.6024499799277748
gd,balanced,test,domain,MU-T,0.3951033580069747
gd,balanced,test,entity,MU-T,0.6199635094658564
gd,balanced,test,general,MU-T,0.6524149148535845
gd,cyclic,retain,domain,MU-R,0.5273733991224524
gd,cyclic,retain,entity,MU-R,0.49821371753543015
gd,cyclic,retain,general,MU-R,0.745374053747453
